kind	id	family	support	strategy	trim	conditions
face	10	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	11	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	12	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	13	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	14	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	15	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	16	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	17	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	18	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	19	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	20	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	21	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	22	plane	supported_analytic_template	strategy.surface.plane	annulus	cutout.planar_perforated;cutout.filleted_slot_deferred
face	23	plane	supported_analytic_template	strategy.surface.plane	annulus	cutout.planar_perforated;cutout.filleted_slot_deferred
face	24	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	25	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	26	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	27	plane	supported_analytic_template	strategy.surface.plane	annulus	cutout.planar_perforated;cutout.filleted_slot_deferred
face	28	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	29	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	30	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	31	plane	supported_analytic_template	strategy.surface.plane	concave_simple_region	cutout.filleted_slot_deferred
face	32	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	33	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	34	plane	supported_analytic_template	strategy.surface.plane	concave_simple_region	cutout.filleted_slot_deferred
face	35	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	36	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	37	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	38	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	39	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	40	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	41	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	42	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	43	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	44	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	45	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	46	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	47	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	48	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	49	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	50	plane	supported_analytic_template	strategy.surface.plane	concave_simple_region	cutout.filleted_slot_deferred
face	51	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	52	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	53	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	54	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	55	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	56	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	57	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	58	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	59	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	60	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	61	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	62	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	63	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	64	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	65	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	66	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	67	plane	supported_analytic_template	strategy.surface.plane	self_intersecting_or_invalid	cutout.filleted_slot_deferred
face	68	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	69	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	70	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	71	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.non_four_sided_deferred;freeform.uv_grid_candidate
face	72	plane	supported_analytic_template	strategy.surface.plane	self_intersecting_or_invalid	cutout.filleted_slot_deferred
face	73	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	74	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	75	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	76	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	77	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	78	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	79	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	80	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	81	cylinder	deferred_residual_surface	reason.deferred_residual_surface	full_periodic_with_cap_boundaries	u_periodic;cutout.cylindrical_bore;cutout.multi_bore_cylinder_deferred;cutout.filleted_slot_deferred
face	82	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	83	plane	supported_analytic_template	strategy.surface.plane	concave_simple_region	cutout.filleted_slot_deferred
face	84	plane	supported_analytic_template	strategy.surface.plane	concave_simple_region	cutout.filleted_slot_deferred
face	85	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	86	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	87	bspline	deferred_residual_surface	reason.deferred_residual_surface	convex_simple_region	mapped.four_sided_candidate;freeform.uv_grid_candidate
face	88	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
